Country Name	"Country Code"	"Series Name"	"Series Code"	"Time"	"Time Code"	"Value"
Afghanistan	"AFG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"-2.75326204299927"
Afghanistan	"AFG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"-2.65240693092346"
Afghanistan	"AFG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"-2.70263171195984"
Afghanistan	"AFG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"-2.51853036880493"
Afghanistan	"AFG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2022"	"YR2022"	"-2.5508017539978"
Albania	"ALB"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"0.366642981767654"
Albania	"ALB"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"0.110049679875374"
Albania	"ALB"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"0.0885764509439468"
Albania	"ALB"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"0.196294024586678"
Albania	"ALB"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2022"	"YR2022"	"0.114945493638515"
Algeria	"DZA"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"-0.842121779918671"
Algeria	"DZA"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"-1.05582988262177"
Algeria	"DZA"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"-0.847814321517944"
Algeria	"DZA"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"-0.992437243461609"
Algeria	"DZA"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2022"	"YR2022"	"-0.741771519184113"
American Samoa	"ASM"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"1.16608023643494"
American Samoa	"ASM"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"1.14571797847748"
American Samoa	"ASM"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"1.09160161018372"
American Samoa	"ASM"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"1.06857633590698"
American Samoa	"ASM"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2022"	"YR2022"	"1.12885904312134"
Andorra	"AND"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"1.39100873470306"
Andorra	"AND"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"1.57721149921417"
Andorra	"AND"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"1.58857178688049"
Andorra	"AND"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"1.58106744289398"
Andorra	"AND"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2022"	"YR2022"	"1.58773648738861"
Angola	"AGO"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"-0.347750902175903"
Angola	"AGO"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"-0.370094686746597"
Angola	"AGO"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"-0.600726008415222"
Angola	"AGO"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"-0.709369480609894"
Angola	"AGO"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2022"	"YR2022"	"-0.646240890026093"
Antigua and Barbuda	"ATG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"0.822919726371765"
Antigua and Barbuda	"ATG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"0.937967896461487"
Antigua and Barbuda	"ATG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"0.929504930973053"
Antigua and Barbuda	"ATG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"0.949530005455017"
Antigua and Barbuda	"ATG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2022"	"YR2022"	"0.94386225938797"
Argentina	"ARG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2018"	"YR2018"	"0.00680991401895881"
Argentina	"ARG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2019"	"YR2019"	"-0.0978643074631691"
Argentina	"ARG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2020"	"YR2020"	"-0.0720262452960014"
Argentina	"ARG"	"Political Stability and Absence of Violence/Terrorism: Estimate"	"PV.EST"	"2021"	"YR2021"	"0.000468279235064983"
